time,seconds_elapsed,AccelerationZ,AccelerationY,AccelerationX,GyroscopeZ,GyroscopeY,GyroscopeX,Label
1.73e+18,0.03530127,0.060402154,0.40284138,-0.074089026,0.040245403,0.197149009,0.126306742,jumping
1.73e+18,0.045262207,0.043123687,0.516617982,-0.010295769,0.001416783,0.195964172,0.185302153,jumping
1.73e+18,0.055223145,0.007957096,0.675446608,0.063819561,-0.114406928,0.121735118,0.272489876,jumping
1.73e+18,0.065184326,0.338603009,1.182504149,0.479835042,-0.156781554,0.048990346,0.261386901,jumping
1.73e+18,0.07514502,0.341335065,1.220907822,0.69607497,-0.151399285,0.023365732,0.257856518,jumping
1.73e+18,0.085106201,0.261543735,1.148657994,0.707935211,-0.137018755,0.029568765,0.277824104,jumping
1.73e+18,0.095066162,0.335719563,1.2940017,0.624149113,-0.152841955,0.02509593,0.314802408,jumping
1.73e+18,0.1050271,0.442006685,1.363484401,0.460234123,-0.230539411,-0.023679866,0.379303634,jumping
1.73e+18,0.114988037,0.56761284,1.177855447,0.513944817,-0.294497997,-0.115248099,0.431898385,jumping
1.73e+18,0.124948975,0.532358572,0.918842692,0.677232614,-0.320452362,-0.216881514,0.507217109,jumping
1.73e+18,0.134910156,0.296994403,0.824472217,0.687041038,-0.321625084,-0.328639388,0.600614607,jumping
1.73e+18,0.144871094,-0.15794366,0.798824566,0.631791152,-0.31512934,-0.457194179,0.685438931,jumping
1.73e+18,0.154832275,-0.643951399,0.447291932,0.525618596,-0.285876572,-0.589829326,0.74885428,jumping
1.73e+18,0.164792236,-0.707697603,-0.141667648,0.407238885,-0.211807132,-0.704464555,0.767197609,jumping
1.73e+18,0.174753174,-0.707490098,-0.465642412,0.076188629,-0.136734337,-0.783620834,0.771208823,jumping
1.73e+18,0.184714111,-0.728238287,-0.393198523,-0.581212254,-0.092686184,-0.787513316,0.768410921,jumping
1.73e+18,0.194675049,-0.77199618,-0.092466102,-1.203020795,-0.095520481,-0.702065825,0.771218717,jumping
1.73e+18,0.20463623,-0.851847715,0.188645088,-1.535071094,-0.127708763,-0.533136487,0.777326643,jumping
1.73e+18,0.214597168,-0.853397283,0.472119499,-1.591761242,-0.180850312,-0.31140703,0.803943098,jumping
1.73e+18,0.224557373,-0.718216074,0.811248578,-1.377813079,-0.236703455,-0.05875719,0.857382059,jumping
1.73e+18,0.234518066,-0.563154107,1.181381867,-0.960454513,-0.279729545,0.187416986,0.93357718,jumping
1.73e+18,0.244479248,-0.353541635,1.511274916,-0.460087701,-0.3195526,0.398393929,1.017401457,jumping
1.73e+18,0.254440186,-0.145371763,1.728914627,0.092344522,-0.355429679,0.517056644,1.11196506,jumping
1.73e+18,0.264400879,0.036585225,1.86801564,0.57873863,-0.380449802,0.50770843,1.210771799,jumping
1.73e+18,0.274362061,0.231515677,1.995568253,0.968434406,-0.403013945,0.39241007,1.326428056,jumping
1.73e+18,0.284322021,0.436173741,2.146947147,1.234681934,-0.431013346,0.187283292,1.43750155,jumping
1.73e+18,0.294283447,0.558221912,2.296752509,1.352782098,-0.476110637,-0.070640624,1.543336987,jumping
1.73e+18,0.304244141,0.597486585,2.443884852,1.398918849,-0.52178067,-0.355611384,1.656905293,jumping
1.73e+18,0.314205322,0.617731501,2.626367325,1.436745014,-0.582750261,-0.652319729,1.769410729,jumping
1.73e+18,0.32416626,0.598145926,2.791763639,1.467416631,-0.643415451,-0.957436502,1.888672113,jumping
1.73e+18,0.334127197,0.563209637,2.964128038,1.48421769,-0.698650956,-1.261214972,2.020667076,jumping
1.73e+18,0.344088135,0.577366757,3.204734784,1.428981248,-0.74885124,-1.558812618,2.162747383,jumping
1.73e+18,0.354048096,0.701384767,3.532477961,1.241667848,-0.81278497,-1.837255359,2.28806448,jumping
1.73e+18,0.364009277,0.940553004,3.882116159,0.960084072,-0.893581867,-2.075343847,2.37748909,jumping
1.73e+18,0.373970215,1.293856738,4.147791295,0.582016921,-1.00814724,-2.253219843,2.428580999,jumping
1.73e+18,0.383931152,1.728653638,4.361324155,0.141337539,-1.149830222,-2.372786283,2.431932688,jumping
1.73e+18,0.39389209,2.117303412,4.556853157,-0.329270825,-1.301848173,-2.425584316,2.389624357,jumping
1.73e+18,0.403853271,2.344474629,4.694856437,-0.784920836,-1.451336265,-2.388613462,2.320579767,jumping
1.73e+18,0.413813232,2.371870586,4.739999647,-1.149794889,-1.571825743,-2.244885445,2.23712945,jumping
1.73e+18,0.423773926,2.369155189,4.677120874,-1.447906313,-1.659511328,-2.00412631,2.132592678,jumping
1.73e+18,0.433735352,2.430536125,4.362934513,-1.668114706,-1.692697644,-1.680174828,1.985402346,jumping
1.73e+18,0.443696289,2.424966216,3.612754444,-1.934965023,-1.702828288,-1.278953314,1.811939716,jumping
1.73e+18,0.453657227,2.195945279,2.355858193,-2.355431492,-1.710309625,-0.828902602,1.641144633,jumping
1.73e+18,0.463618164,1.717182104,0.937924993,-2.652918063,-1.688099146,-0.393281102,1.489969134,jumping
1.73e+18,0.473578125,0.788469176,-0.510722494,-2.379258212,-1.574662685,-0.036672156,1.408637881,jumping
1.73e+18,0.483539307,-0.454143405,-1.64538528,-1.833236587,-1.38147831,0.153194711,1.370191693,jumping
1.73e+18,0.4935,-1.141769988,-1.95369895,-1.435990689,-1.185456991,0.189258695,1.273164511,jumping
1.73e+18,0.503461182,-1.306690793,-2.325684589,-1.251728492,-1.076227188,0.21124655,1.143106461,jumping
1.73e+18,0.513421143,-1.084189321,-3.261327609,-0.649194853,-1.054922581,0.299791753,1.01239574,jumping
1.73e+18,0.523382324,-0.542548834,-4.545139338,0.487198411,-1.088971376,0.355195642,0.8602736,jumping
1.73e+18,0.533342285,-0.058377078,-5.863220418,1.490866334,-1.147005439,0.312633187,0.681539893,jumping
1.73e+18,0.543303223,0.076229984,-6.824435685,1.961540019,-1.192257285,0.338716984,0.475454092,jumping
1.73e+18,0.55326416,-0.230946937,-7.086265836,2.541136142,-1.143439174,0.601918757,0.292155772,jumping
1.73e+18,0.563225342,-0.539990674,-7.119796934,3.553260637,-0.97410661,0.944473445,0.157331645,jumping
1.73e+18,0.573186279,-0.642675972,-7.691341854,4.7179319,-0.716631114,1.119749427,0.075603932,jumping
1.73e+18,0.583146973,-0.478830687,-8.74393309,5.555311237,-0.459310919,1.046384096,-0.006781753,jumping
1.73e+18,0.593107178,-0.351591086,-10.04229182,5.881382097,-0.272441924,0.825460136,-0.118345179,jumping
1.73e+18,0.603068115,-0.506879263,-11.38406883,5.976309037,-0.182154894,0.554876328,-0.240199983,jumping
1.73e+18,0.613029541,-0.846868466,-12.54965925,6.073091248,-0.128825754,0.210594922,-0.345518261,jumping
1.73e+18,0.622990234,-1.334557874,-13.3018454,6.33600218,-0.026678339,-0.200077042,-0.40173173,jumping
1.73e+18,0.632951416,-1.932858991,-13.6223107,6.742190533,0.167580441,-0.627442598,-0.382944047,jumping
1.73e+18,0.642912354,-2.248584252,-13.69566586,6.887658742,0.42456907,-1.012470245,-0.324979544,jumping
1.73e+18,0.652872314,-2.245594568,-13.55753398,6.422597929,0.654467165,-1.307985306,-0.250169575,jumping
1.73e+18,0.662833252,-2.263110644,-12.86936233,5.35825488,0.79860729,-1.462198973,-0.174028456,jumping
1.73e+18,0.672794189,-2.546754275,-11.7370312,4.134291177,0.849312246,-1.479691863,-0.077031046,jumping
1.73e+18,0.682755371,-2.822994936,-10.46764138,3.215276636,0.834969223,-1.429704666,0.027420525,jumping
1.73e+18,0.692716064,-2.889188825,-9.156663412,2.585996152,0.782105982,-1.374047756,0.129606783,jumping
1.73e+18,0.702677246,-2.839880604,-8.096077085,1.990500448,0.720145404,-1.307781935,0.225528523,jumping
1.73e+18,0.712637207,-2.488046065,-7.567596816,1.397338156,0.64843303,-1.213418961,0.29330337,jumping
1.73e+18,0.722598145,-1.715313388,-7.039976379,0.865540141,0.596025467,-1.11466682,0.295113504,jumping
1.73e+18,0.732559326,-0.968296166,-5.787477487,0.354887205,0.581487954,-0.971642494,0.240336269,jumping
1.73e+18,0.74252002,-0.529993304,-3.990665965,-0.039327802,0.579239488,-0.739927232,0.144022778,jumping
1.73e+18,0.752481445,-0.051696869,-1.671854185,-0.223617032,0.590567648,-0.475030988,0.017130448,jumping
1.73e+18,0.762442383,0.525049125,1.005552422,-0.321141002,0.591221988,-0.212299481,-0.105120368,jumping
1.73e+18,0.77240332,0.86797935,3.479659978,-0.496552076,0.569102943,0.059675653,-0.203577846,jumping
1.73e+18,0.782363281,1.180162847,5.622742267,-0.788807322,0.512634397,0.35785675,-0.304298341,jumping
1.73e+18,0.792324219,1.664572796,7.187194062,-1.174740822,0.421449304,0.675705492,-0.445568591,jumping
1.73e+18,0.8022854,2.200302013,8.175316626,-1.635166815,0.32959795,0.977195323,-0.620770752,jumping
1.73e+18,0.812246094,2.693380714,8.813633234,-2.100612535,0.264644474,1.239236355,-0.8131603,jumping
1.73e+18,0.822207275,2.970682867,9.262066153,-2.551588271,0.245651349,1.449019194,-0.962825418,jumping
1.73e+18,0.832168213,3.06048881,9.591371757,-2.926289014,0.284574091,1.567826271,-1.055989861,jumping
1.73e+18,0.842128174,3.058681176,9.758025378,-3.113168261,0.360627055,1.579986691,-1.081155419,jumping
1.73e+18,0.852089111,3.007653292,9.774787712,-3.110655986,0.439584702,1.502917051,-1.039029002,jumping
1.73e+18,0.862050049,2.932497513,9.694593062,-2.959249619,0.495176852,1.370411873,-0.943504691,jumping
1.73e+18,0.87201123,2.891806314,9.666865682,-2.654970319,0.505966604,1.185478687,-0.824520588,jumping
1.73e+18,0.881972168,2.966499736,9.729083945,-2.282261627,0.467706323,0.93360436,-0.714543998,jumping
1.73e+18,0.89193335,3.072385876,9.847344414,-1.913141314,0.389918506,0.610128462,-0.629389286,jumping
1.73e+18,0.901893066,3.164045046,9.936554145,-1.621342434,0.309137911,0.245184571,-0.57813251,jumping
1.73e+18,0.911854492,3.201911543,9.908165086,-1.462999399,0.260509908,-0.099542998,-0.542909324,jumping
1.73e+18,0.92181543,3.19955592,9.699165192,-1.47336458,0.254418701,-0.357922882,-0.528233469,jumping
1.73e+18,0.931776123,3.189161659,9.412684584,-1.63171799,0.29141593,-0.509169042,-0.516169906,jumping
1.73e+18,0.941737305,3.207656516,9.113282536,-1.875885496,0.368326157,-0.556237757,-0.51644659,jumping
1.73e+18,0.951698242,3.268583571,8.849610556,-2.20781838,0.446709454,-0.512851834,-0.511417091,jumping
1.73e+18,0.961658447,3.383906817,8.631826468,-2.569268889,0.507240653,-0.403250247,-0.513449073,jumping
1.73e+18,0.971619141,3.566006721,8.438032327,-2.821719217,0.525339961,-0.2534841,-0.515799701,jumping
1.73e+18,0.981580322,3.698527186,8.259854858,-2.89730082,0.499498516,-0.109069392,-0.527017474,jumping
1.73e+18,0.99154126,3.79909593,8.093140447,-2.762589567,0.451841474,0.00629416,-0.555540323,jumping
1.73e+18,1.001501953,3.791930277,7.86425395,-2.511694067,0.401012927,0.085806832,-0.596116245,jumping
1.73e+18,1.011463135,3.673771515,7.455521758,-2.229853832,0.367801189,0.141918629,-0.634828329,jumping
1.73e+18,1.021423096,3.526573705,6.798748286,-1.948234693,0.364890099,0.174696282,-0.681176424,jumping
